央视,#genre#
CCTV-1_综合,https://pi.0472.org/hls/cctv1.m3u8
CCTV-2_财经,https://pi.0472.org/hls/cctv2.m3u8
CCTV-3_综艺,https://pi.0472.org/hls/cctv3.m3u8
CCTV-4_中文国际,https://pi.0472.org/hls/cctv4.m3u8
CCTV-5_体育,https://pi.0472.org/hls/cctv5.m3u8
CCTV-5+_体育赛事,https://pi.0472.org/hls/cctv5p.m3u8
CCTV-6_电影,https://pi.0472.org/hls/cctv6.m3u8
CCTV-7_国防军事,https://pi.0472.org/hls/cctv7.m3u8
CCTV-8_电视剧,https://pi.0472.org/hls/cctv8.m3u8
CCTV-9_纪录,https://pi.0472.org/hls/cctv9.m3u8
CCTV-10_科教,https://pi.0472.org/hls/cctv10.m3u8
CCTV-11_戏曲,https://pi.0472.org/hls/cctv11.m3u8
CCTV-12_社会与法,https://pi.0472.org/hls/cctv12.m3u8
CCTV-13_新闻,https://pi.0472.org/hls/cctv13.m3u8
CCTV-14_少儿,https://pi.0472.org/hls/cctv14.m3u8
CCTV-15_音乐,https://pi.0472.org/hls/cctv15.m3u8
CCTV-16_奥林匹克,https://pi.0472.org/hls/cctv16.m3u8
CCTV-17_农业农村,https://pi.0472.org/hls/cctv17.m3u8
CCTV-4K_超高清,https://pi.0472.org/hls/cctv4k.m3u8
CCTV-16_奥林匹克_4K,https://pi.0472.org/hls/cctv164k.m3u8
CGTN,https://pi.0472.org/hls/cgtn.m3u8

卫视,#genre#
北京卫视,https://pi.0472.org/hls/bjws.m3u8
东方卫视,https://pi.0472.org/hls/dfws.m3u8
天津卫视,https://pi.0472.org/hls/tjws.m3u8
重庆卫视,https://pi.0472.org/hls/cqws.m3u8
黑龙江卫视,https://pi.0472.org/hls/hljws.m3u8
吉林卫视,https://pi.0472.org/hls/jlws.m3u8
辽宁卫视,https://pi.0472.org/hls/lnws.m3u8
内蒙古卫视,https://pi.0472.org/hls/nmws.m3u8
宁夏卫视,https://pi.0472.org/hls/nxws.m3u8
甘肃卫视,https://pi.0472.org/hls/gsws.m3u8
青海卫视,https://pi.0472.org/hls/qhws.m3u8
陕西卫视,https://pi.0472.org/hls/sxws.m3u8
河北卫视,https://pi.0472.org/hls/hbws.m3u8
山西卫视,https://pi.0472.org/hls/sxiws.m3u8
山东卫视,https://pi.0472.org/hls/sdws.m3u8
安徽卫视,https://pi.0472.org/hls/ahws.m3u8
河南卫视,https://pi.0472.org/hls/hnws.m3u8
湖北卫视,https://pi.0472.org/hls/hubws.m3u8
湖南卫视,https://pi.0472.org/hls/hunws.m3u8
江西卫视,https://pi.0472.org/hls/jxws.m3u8
江苏卫视,https://pi.0472.org/hls/jsws.m3u8
浙江卫视,https://pi.0472.org/hls/zjws.m3u8
东南卫视,https://pi.0472.org/hls/dnws.m3u8
海峡卫视,https://pi.0472.org/hls/hxws.m3u8
厦门卫视,https://pi.0472.org/hls/xmws.m3u8
广东卫视,https://pi.0472.org/hls/gdws.m3u8
深圳卫视,https://pi.0472.org/hls/szws.m3u8
广西卫视,https://pi.0472.org/hls/gxws.m3u8
云南卫视,https://pi.0472.org/hls/ynws.m3u8
贵州卫视,https://pi.0472.org/hls/gzws.m3u8
四川卫视,https://pi.0472.org/hls/scws.m3u8
康巴卫视,https://pi.0472.org/hls/kbws.m3u8
海南卫视,https://pi.0472.org/hls/hinws.m3u8
三沙卫视,https://pi.0472.org/hls/ssws.m3u8
新疆卫视,https://pi.0472.org/hls/xjws.m3u8
兵团卫视,https://pi.0472.org/hls/btws.m3u8
西藏卫视,https://pi.0472.org/hls/xzws.m3u8
西藏藏语卫视,https://pi.0472.org/hls/xzzyws.m3u8
CETV1,https://pi.0472.org/hls/cetv1.m3u8
