湖南台,#genre#
湖南爱晚,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTkyMjA0MGI5YTVmMzRlOTNiNTNmODg5NWMxYjkxMDJhJnVpZD0mdXVpZD1jNGIxODVjYTAxN2Y4ZDdkNTFlMGQ5YWM2YmM5NzhlOS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzMzNTU4MTA4/HNGGMPP360.m3u8
湖南都市,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz04MGI4ZmUwOGNkNzEyMzY4MmQ1MDkyMjk5ZDQ2NWE1MCZ1aWQ9JnV1aWQ9NGRhZTQ2ZTg3YTY4YTBhNDVhZTA4NmM5ZjdlNjFmMTgtNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTczMzU3NjEzNg,,/HNDSMPP360.m3u8
湖南娱乐频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPWE5MmJkNjlhNDhkYjIzYTAyOTVjYzhlZjlmNjgzNzZhJnVpZD0mdXVpZD1iNDZmZjQxNWY4OTNjMTE3MjMxMDZjNDJjYzU5MWUyMC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzMzNTY3OTY1/HNYLMPP360.m3u8
湖南经视,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTI1MGIxYzAwZjhlODU5YTVmM2QxNmJiYzJhYTg5MWZkJnVpZD0mdXVpZD0xNTk2M2U5NmZkNWIyMmE1NDM2NmYwZjE2Yzk0YzYyZC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzMzNTc4Mjc3/HNJSMPP360.m3u8
金鹰纪实频道,https://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTQxZmViMzI2NGYyNTNiOWI5Y2FlMmYyNGQ3NGRhYThlJnVpZD0mdXVpZD1lOTljOWFlZjQ5MzEyNmUzNmQ4MTY3YzQyY2M2MjMzNC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzMzNTc2MzU3/JYJSMPP360.m3u8
金鹰卡通,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPWUxMmM3OTUxNmVkMTg4MDRhMDdlYWY0NTdiMmNlODNhJnVpZD0mdXVpZD05OGQ2MTUxMDUwM2ZmMTdhMWUyM2ZiYTA5ZGRmY2I0My02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzMzNTY0OTU0/JYKTMPP360.m3u8
湖南国际频道,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz1hNjRhNWEwOTUxNTA1YTUxZDc5M2JiYzNlNmNiODdhNyZ1aWQ9JnV1aWQ9NGFlYzNiNzcyNjhlZDRiYzVjZmMxYTE2YmEwYTg0M2ItNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTczMzU3Mjg4MQ,,/HNGJMPP360.m3u8
湖南电视剧,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTJiMTY1N2VjMTczM2RiOTU3MGFhYzBjMzMyOGYxYmQzJnVpZD0mdXVpZD1jYWU3ZTU1YWMxOWU1YjgzZmYyNTMyNmZmMWU5MWY4NS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzMzNTYwODQw/HNDSJMPP360.m3u8
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPWZhMmQzYWE5YTI2MDhkZGIyNGNlNDQyNjk5YjU0YWU4JnVpZD0mdXVpZD03MGQ2Y2M4YTdmMjMzMWFhN2Q1ZjQ1YjJlMmZjZGRkNS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzMzNTU0ODk5/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8
