湖南台,#genre#
湖南爱晚,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTM5NjYyNzgzMmE5ZDBkYWE1M2Q4NmI5ODdlZmY1OTg5JnVpZD0mdXVpZD05NDNhZDdiNjI1YzJjYjFkMGQ3ZmVkNmQ3MGJmOWQxNi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM3NDg2NDA4/HNGGMPP360.m3u8
湖南都市,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPWE4MjljZWQzNWYzNDU5YzVhZGQxNWU2ZjI1M2NlYjUwJnVpZD0mdXVpZD04ZDNkNjAyYjJiMzBiZTQzNjA2NWM3MzZlOWI3NjIyMC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM3NDc4ODQ4/HNDSMPP360.m3u8
湖南娱乐频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPWY5YmZjZDc5YWM2YTFjNTg1MjRiYjBhZmVmZjRjZWUxJnVpZD0mdXVpZD0xZTM5MzVjZjc1ODMxNzcwYWNlZGM3MzFmMzc2M2YwMi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM3NDg4OTM3/HNYLMPP360.m3u8
湖南经视,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTAzNWU1MjExZWEzNGJkODA1ZGIyYzdjMTIxODI3MWY4JnVpZD0mdXVpZD0wMTA2ODA2MWJmMjM1Y2RlYzk5ZWIxODgwM2NhMTJkZC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM3NDg5NjU0/HNJSMPP360.m3u8
金鹰纪实频道,https://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTBmMTA3MmViOWRhNjZlODBlMmE2NmMxZjEwMjk3MTc5JnVpZD0mdXVpZD0yMjI4NDMzMWU3YzU2ZjY0YTVjZjNjMTdmNDE3YzEzMC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM3NDg3MTcw/JYJSMPP360.m3u8
金鹰卡通,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPThjZDkxMTFhZDljMjU3NGM0YzhlNmNiMjMxZTkxN2E3JnVpZD0mdXVpZD02MDExNGY3MDNhNWM0ZWQyZDhhMmJmMDQ4ZTY4MjZlNS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM3NTAyOTg2/JYKTMPP360.m3u8
湖南国际频道,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTAwMzEzZGNjZjMyOTU5MjQ4M2YzMzFjZDg3MzA2ODlkJnVpZD0mdXVpZD0zZWQwODFjNzA3OWU0OWYyZjUwMzRhYmQ4ODFkMWFhMi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzM3NDc4MzI4/HNGJMPP360.m3u8
湖南电视剧,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz05NDc0M2Q2MDIxZjQ3YmMxZmNiZTNmZGRmMmRhZjg4ZCZ1aWQ9JnV1aWQ9ZGUyMzdmMjc3MmJjODQzNjc2N2EwNzJiZTljM2QyM2MtNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTczNzQ3NTI0MQ,,/HNDSJMPP360.m3u8
长沙新闻频道,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz02YjZmYTJkYzQ2N2RlZDUzOGJkZDhmNWQwNGE4MTliOSZ1aWQ9JnV1aWQ9NDMzNDllZjgxNmUyN2U5ODMyMTI1YjFiYzNkMjNmNTctNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTczNzQ4MjAwNQ,,/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

港澳台,#genre#
澳门卫视,http://61.244.22.4/ch1/ch1.live/playlist.m3u8
Pet_Club_TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
Bloomberg_TV_Asia,http://210.210.155.37/dr9445/h/h03/index.m3u8
KIX,http://210.210.155.37/dr9445/h/h07/index.m3u8
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
Celestial_Movies,http://210.210.155.37/dr9445/h/h14/index.m3u8
tvN_Movies_Asia,http://210.210.155.37/dr9445/h/h21/index.m3u8
TVB_News,http://r.jdshipin.com/CkuBd
Good,https://live.streamingfast.net/osmflivech1.m3u8
Good_2,https://live.streamingfast.net/osmflivech2.m3u8
Beautiful_Life_TV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
Supreme_Master_TV,https://lbs-us1.suprememastertv.com/720p.m3u8
TVBS-Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
Taiwan_Plus_TV,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
Genius_Go_Go_Go,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
DaAi_1,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
