央视台,#genre#
CCTV-1综合,http://121.24.98.253:8090/hls/9/index.m3u8
CCTV-1综合,http://121.18.43.254:10000/hls/1/index.m3u8
CCTV-1综合,https://live-play.cctvnews.cctv.com/cctv/merge_cctv1_mbd.m3u8?auth_key=1724446902-0-pcs0e410b4e6a68499daa82c824cee1faa6-59c655401e42120def1862b00449ccb2&yid=pcs0e410b4e6a68499daa82c824cee1faa6
CCTV-2财经,http://121.18.43.254:10000/hls/2/index.m3u8
CCTV-2财经,http://121.24.98.253:8090/hls/10/index.m3u8
CCTV-2财经,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-3综艺,http://121.18.43.254:10000/hls/3/index.m3u8
CCTV-3综艺,http://121.24.98.253:8090/hls/11/index.m3u8
CCTV-3综艺,http://36.44.157.178:9901/tsfile/live/0003_1.m3u8
CCTV-4中文国际,http://121.24.98.253:8090/hls/12/index.m3u8
CCTV-4中文国际,https://live-play.cctvnews.cctv.com/cctv/merge_cctv4_mbd.m3u8?auth_key=1724449628-0-pcs19b4b795a51a47d1ad036d06d6fb3186-26d7fa32040c7e3245bc8e20817b53ed&yid=pcs19b4b795a51a47d1ad036d06d6fb3186
CCTV-4中文国际,http://121.18.43.254:10000/hls/4/index.m3u8
CCTV-5体育,http://110.241.188.219:808/hls/5/index.m3u8
CCTV-5体育,http://121.18.43.254:10000/hls/5/index.m3u8
CCTV-5体育,http://123.138.216.44:9902/tsfile/live/0005_1.m3u8
CCTV-5+体育赛事,http://121.18.43.254:10000/hls/17/index.m3u8
CCTV-5+体育赛事,http://124.94.193.136:9902/tsfile/live/0016_1.m3u8
CCTV-5+体育赛事,http://101.229.227.246:7777/tsfile/live/0016_1.m3u8
CCTV-6电影,http://110.241.188.219:808/hls/6/index.m3u8
CCTV-6电影,http://121.24.98.253:8090/hls/14/index.m3u8
CCTV-6电影,http://111.61.236.247:9081/hls/6/index.m3u8
CCTV-7国防军事,http://36.44.157.178:9901/tsfile/live/0007_1.m3u8
CCTV-7国防军事,http://101.229.227.246:7777/tsfile/live/0007_1.m3u8
CCTV-7国防军事,http://121.18.43.254:10000/hls/7/index.m3u8
CCTV-8电视剧,http://110.241.188.219:808/hls/8/index.m3u8
CCTV-8电视剧,http://121.24.98.253:8090/hls/16/index.m3u8
CCTV-8电视剧,http://202.100.46.58:9901/tsfile/live/1007_1.m3u8
CCTV-9纪录,http://121.24.98.253:8090/hls/17/index.m3u8
CCTV-9纪录,http://123.189.36.155:9901/tsfile/live/1160_1.m3u8
CCTV-9纪录,http://101.229.227.246:7777/tsfile/live/0009_1.m3u8
CCTV-10科教,http://121.18.43.254:10000/hls/10/index.m3u8
CCTV-10科教,http://121.24.98.253:8090/hls/18/index.m3u8
CCTV-10科教,http://118.248.170.67:8088/tsfile/live/0010_1.m3u8
CCTV-11戏曲,http://121.24.98.253:8090/hls/19/index.m3u8
CCTV-11戏曲,http://123.138.216.44:9902/tsfile/live/0011_1.m3u8
CCTV-11戏曲,http://101.229.227.246:7777/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://121.24.98.253:8090/hls/20/index.m3u8
CCTV-12社会与法,http://59.173.183.242:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://118.248.170.67:8088/tsfile/live/0012_1.m3u8
CCTV-13新闻,http://123.138.216.44:9902/tsfile/live/0013_1.m3u8
CCTV-13新闻,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mbd.m3u8?auth_key=1724446628-0-pcs62d16260a9f04289ba018eb58433809d-357124f474cb45c2a392d652e59042d6&yid=pcs62d16260a9f04289ba018eb58433809d
CCTV-13新闻,http://121.18.43.254:10000/hls/13/index.m3u8
CCTV-14少儿,http://121.18.43.254:10000/hls/14/index.m3u8
CCTV-14少儿,http://121.24.98.253:8090/hls/22/index.m3u8
CCTV-14少儿,http://202.100.46.58:9901/tsfile/live/1014_1.m3u8
CCTV-15音乐,http://121.24.98.253:8090/hls/23/index.m3u8
CCTV-15音乐,http://101.229.227.246:7777/tsfile/live/0015_1.m3u8
CCTV-15音乐,http://118.248.170.67:8088/tsfile/live/0015_1.m3u8
CCTV-16奥林匹克,http://123.189.36.7:9901/tsfile/live/1027_1.m3u8
CCTV-16奥林匹克,http://101.229.227.246:7777/tsfile/live/1038_1.m3u8
CCTV-17农业农村,http://121.24.98.253:8090/hls/15/index.m3u8
CCTV-17农业农村,http://36.44.157.178:9901/tsfile/live/1019_1.m3u8
CCTV-17农业农村,http://101.229.227.246:7777/tsfile/live/1039_1.m3u8
CCTV-4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-4K超高清,http://113.96.179.241/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-164K,http://202.100.46.58:9901/tsfile/live/1016_1.m3u8
CCTV-164K,http://123.189.36.7:9901/tsfile/live/1027_1.m3u8
CCTV-164K,http://101.229.227.246:7777/tsfile/live/1038_1.m3u8

卫视台,#genre#
北京卫视,http://121.24.98.253:8090/hls/32/index.m3u8
北京卫视,http://121.18.43.254:10000/hls/22/index.m3u8
北京卫视,http://101.229.227.246:7777/tsfile/live/0122_1.m3u8
东方卫视,http://202.100.46.58:9901/tsfile/live/1018_1.m3u8
东方卫视,http://218.3.138.25:1111/tsfile/live/1020_1.m3u8
东方卫视,http://101.229.227.246:7777/tsfile/live/0107_1.m3u8
天津卫视,http://121.24.98.253:8090/hls/33/index.m3u8
天津卫视,http://202.100.46.58:9901/tsfile/live/1030_1.m3u8
天津卫视,http://101.229.227.246:7777/tsfile/live/0135_1.m3u8
重庆卫视,http://121.24.98.253:8090/hls/78/index.m3u8
重庆卫视,http://123.138.216.44:9902/tsfile/live/0132_1.m3u8
重庆卫视,http://121.18.43.254:10000/hls/34/index.m3u8
黑龙江卫视,http://121.24.98.253:8090/hls/42/index.m3u8
黑龙江卫视,http://124.94.193.136:9902/tsfile/live/0143_1.m3u8
黑龙江卫视,http://124.128.73.58:9901/tsfile/live/0143_1.m3u8
吉林卫视,http://121.24.98.253:8090/hls/37/index.m3u8
吉林卫视,http://124.94.193.136:9902/tsfile/live/0116_1.m3u8
吉林卫视,http://101.229.227.246:7777/tsfile/live/0116_1.m3u8
辽宁卫视,http://121.24.98.253:8090/hls/59/index.m3u8
辽宁卫视,http://202.100.46.58:9901/tsfile/live/1037_1.m3u8
辽宁卫视,http://101.229.227.246:7777/tsfile/live/0121_1.m3u8
内蒙古卫视,http://110.241.188.219:808/hls/39/index.m3u8
内蒙古卫视,http://121.24.98.253:8090/hls/43/index.m3u8
